content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
"Very usefull, n helpfull","very usefull, n helpfull",en,0.0,0.0,1.0,0.0,0,"[('usefull helpfull', 0.8213), ('usefull', 0.747), ('helpfull', 0.6777)]"
I love it so helpful thanks Halodoc,i love it so helpful thanks halodoc,en,0.8878,0.0,0.276,0.724,2,"[('helpful thanks halodoc', 0.8019), ('love helpful thanks', 0.5878), ('helpful', 0.3948), ('thanks', 0.2371), ('love', 0.2342)]"
"Very helpful application. During corona, dont have to go to the hospital but still can make an appointment with specialist doctor. Thank you!","very helpful application. during corona, do not have to go to the hospital but still can make an appointment with specialist doctor. thank you!",en,0.6797,0.0,0.79,0.21,1,"[('application corona hospital', 0.7555), ('make appointment', 0.4919), ('specialist doctor', 0.4101), ('application', 0.18), ('helpful', 0.1793)]"
Easy to use and fast delivery,easy to use and fast delivery,en,0.4404,0.0,0.633,0.367,1,"[('use fast delivery', 0.8354), ('easy use fast', 0.6452), ('delivery', 0.5948), ('easy', 0.3032), ('use', 0.2735)]"
The trip map of the driver can not be seen,the trip map of the driver can not be seen,en,0.0,0.0,1.0,0.0,0,"[('trip map driver', 0.7849), ('driver seen', 0.5697), ('map', 0.4758), ('trip', 0.3461), ('seen', 0.1859)]"
"Good, simple and practical","good, simple and practical",en,0.4404,0.0,0.508,0.492,1,"[('good simple practical', 0.874), ('simple practical', 0.8253), ('practical', 0.704), ('simple', 0.4787), ('good', 0.2868)]"
Very good app for ordering medicine but bad service for medicine with prescription as you will be rejected and are required to re-order with risk of purchase cancellation (by system) and risk of payment problem.,very good application for ordering medicine but bad service for medicine with prescription as you will be rejected and are required to re-order with risk of purchase cancellation (by system) and risk of payment problem.,en,-0.9513,0.367,0.59,0.043,-1,"[('application ordering medicine', 0.7257), ('medicine bad', 0.5074), ('bad service', 0.3887), ('purchase cancellation risk', 0.3364), ('rejected required', 0.2218)]"
The doctor so helpful,the doctor so helpful,en,0.5598,0.0,0.453,0.547,2,"[('doctor helpful', 0.8396), ('doctor', 0.574), ('helpful', 0.4594)]"
"Fast response, pharmacist called to confirm, gojek rider was communicative. Very satisfied","fast response, pharmacist called to confirm, gojek rider was communicative. very satisfied",en,0.4754,0.0,0.781,0.219,1,"[('gojek rider communicative', 0.6693), ('pharmacist called confirm', 0.5968), ('satisfied', 0.3018), ('fast response', 0.2963), ('called', 0.1888)]"
Very quick respon to consult with the docter,very quick respon to consult with the docter,en,0.0,0.0,1.0,0.0,0,"[('consult docter', 0.7877), ('respon consult docter', 0.7001), ('respon consult', 0.3724), ('quick respon', 0.2675), ('docter', 0.1845)]"
Cool apps 24 hours standby,cool application 24 hours standby,en,0.3182,0.0,0.635,0.365,1,"[('24 hours standby', 0.7655), ('application 24 hours', 0.627), ('cool application', 0.543), ('24', 0.1822), ('cool', 0.1776)]"
First aid everytime. Really helped and trustful.,first aid everytime. really helped and trustful.,en,0.5209,0.0,0.641,0.359,1,"[('aid everytime', 0.7146), ('really helped', 0.4058), ('trustful', 0.2916), ('everytime really', 0.276), ('really', 0.0978)]"
I love this Apps. Help me to solve a medical problems,i love this application. help me to solve a medical problems,en,0.7184,0.147,0.38,0.473,1,"[('solve medical problems', 0.6185), ('application help', 0.5802), ('help', 0.1971), ('love', 0.1216), ('help solve', 0.105)]"
Very helpfull application,very helpfull application,en,0.0,0.0,1.0,0.0,0,"[('helpfull application', 0.8946), ('application', 0.6923), ('helpfull', 0.6194)]"
Great and helpful! Thx Halodoc 🙏,great and helpful! thanks halodoc,en,0.8655,0.0,0.292,0.708,2,"[('helpful thanks halodoc', 0.8634), ('halodoc', 0.5985), ('great helpful', 0.5097), ('thanks', 0.2367), ('great', 0.1874)]"
Application very useful on this pandemic covid-19. But I think still good even normal situation,application very useful on this pandemic covid-19. but i think still good even normal situation,en,0.7137,0.0,0.686,0.314,1,"[('application useful pandemic', 0.6494), ('covid 19 think', 0.5183), ('useful', 0.353), ('good normal', 0.2094), ('situation', 0.1344)]"
Very helpful during this pandemic,very helpful during this pandemic,en,0.4754,0.0,0.564,0.436,1,"[('helpful pandemic', 0.8736), ('pandemic', 0.6477), ('helpful', 0.4679)]"
Very good app,very good application,en,0.4927,0.0,0.385,0.615,2,"[('good application', 0.9049), ('application', 0.6912), ('good', 0.3263)]"
easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"Useful apps, thank you halodoc","useful application, thank you halodoc",en,0.6597,0.0,0.357,0.643,2,"[('application thank halodoc', 0.8497), ('useful application thank', 0.7309), ('halodoc', 0.6542), ('useful', 0.4945), ('thank', 0.2011)]"
"Very helpful and i just tried consultation with doctor, and they're very responsive to reply our questions","very helpful and i just tried consultation with doctor, and they are very responsive to reply our questions",en,0.7083,0.0,0.718,0.282,1,"[('tried consultation doctor', 0.4969), ('doctor responsive', 0.3809), ('helpful just', 0.3279), ('responsive reply questions', 0.2669), ('tried', 0.0599)]"
So far so good the content,so far so good the content,en,0.6213,0.0,0.551,0.449,1,"[('far good content', 0.8019), ('content', 0.579), ('far good', 0.4904), ('far', 0.352), ('good', 0.2648)]"
Great and user friendly app,great and user friendly application,en,0.8074,0.0,0.291,0.709,2,"[('user friendly application', 0.9078), ('great user friendly', 0.5814), ('friendly', 0.317), ('user', 0.2787), ('great', 0.2342)]"
"Easy use, helpful","easy use, helpful",en,0.6908,0.0,0.149,0.851,2,"[('easy use helpful', 0.9202), ('easy use', 0.8658), ('helpful', 0.5818), ('use', 0.5666), ('easy', 0.4722)]"
"Very good app. I can consult with the good and experience doctor! Because i'm moslem, i can choose a female doctor to make me feel comfortable. Thank you","very good application. i can consult with the good and experience doctor! because i am moslem, i can choose a female doctor to make me feel comfortable. thank you",en,0.9039,0.0,0.663,0.337,1,"[('choose female doctor', 0.6309), ('consult good experience', 0.4127), ('good application', 0.3663), ('make feel comfortable', 0.2434), ('moslem', 0.1569)]"
Help a lot,help a lot,en,0.4019,0.0,0.426,0.574,2,"[('help lot', 0.8404), ('help', 0.7054), ('lot', 0.5104)]"
User friendly and essential app for modern medical care. Recommended...,user friendly and essential application for modern medical care. recommended...,en,0.802,0.0,0.461,0.539,2,"[('application modern medical', 0.7385), ('friendly essential application', 0.5756), ('care recommended', 0.4367), ('user friendly', 0.3447), ('modern', 0.3105)]"
"Nice apps! Easy to use, fast respond","nice application! easy to use, fast respond",en,0.7177,0.0,0.455,0.545,2,"[('nice application easy', 0.7752), ('easy use fast', 0.584), ('use fast respond', 0.5545), ('use', 0.3184), ('nice', 0.2247)]"
Very Helpful Application,very helpful application,en,0.4754,0.0,0.393,0.607,2,"[('helpful application', 0.9036), ('application', 0.7185), ('helpful', 0.5717)]"
"Very usefull, in this pandemic situation.","very usefull, in this pandemic situation.",en,0.0,0.0,1.0,0.0,0,"[('usefull pandemic', 0.8372), ('usefull pandemic situation', 0.8288), ('pandemic situation', 0.6517), ('usefull', 0.5301), ('situation', 0.1549)]"
Easy to use and the feature is good. Really helpfull in this situation :) thank you! Note: please give a filter for making appointment,easy to use and the feature is good. really helpfull in this situation :) thank you! note: please give a filter for making appointment,en,0.9168,0.0,0.578,0.422,1,"[('filter making appointment', 0.6107), ('easy use feature', 0.5982), ('thank note filter', 0.3279), ('good really helpfull', 0.248), ('situation', 0.0934)]"
Easy to find the medicine we need,easy to find the medicine we need,en,0.4404,0.0,0.674,0.326,1,"[('easy medicine need', 0.8608), ('medicine need', 0.7704), ('medicine', 0.6088), ('easy', 0.2785), ('need', 0.2718)]"
"Try it, and they will help you!","try it, and they will help you!",en,0.4574,0.0,0.667,0.333,1,"[('try help', 0.4265), ('try', 0.4112), ('help', 0.2352)]"
I can get the medicine very fast without go out the home,i can get the medicine very fast without go out the home,en,0.0,0.0,1.0,0.0,0,"[('medicine fast home', 0.7535), ('fast home', 0.4256), ('medicine', 0.3965), ('fast', 0.2774), ('home', 0.2667)]"
Its easy to use and the doctor is recomended. Thanks Halodoc,its easy to use and the doctor is recomended. thanks halodoc,en,0.7003,0.0,0.608,0.392,1,"[('easy use doctor', 0.7124), ('doctor recomended thanks', 0.4959), ('recomended thanks halodoc', 0.3869), ('use', 0.2986), ('thanks', 0.0966)]"
Thanks a lot halo doc.,thanks a lot halo doc.,en,0.4404,0.0,0.58,0.42,1,"[('thanks lot halo', 0.8301), ('halo doc', 0.8067), ('doc', 0.369), ('thanks', 0.283), ('lot', 0.2029)]"
"Really helpful, thanks halodoc","really helpful, thanks halodoc",en,0.7408,0.0,0.242,0.758,2,"[('helpful thanks halodoc', 0.9358), ('halodoc', 0.6103), ('really helpful', 0.5913), ('thanks', 0.2546), ('really', 0.1271)]"
First try and have a great experience. I think I'll use this app frequently from now instead of googling.,first try and have a great experience. i think i will use this application frequently from now instead of googling.,en,0.6249,0.0,0.814,0.186,1,"[('use application', 0.5073), ('googling', 0.4527), ('try great experience', 0.3933), ('great', 0.1173), ('frequently instead', 0.0654)]"
Very helpful ...,very helpful ...,en,0.4754,0.0,0.393,0.607,2,"[('helpful', 0.6549)]"
It's help me soo much,it is help me soo much,en,0.4019,0.0,0.597,0.403,1,"[('help soo', 0.6072), ('help', 0.5249), ('soo', 0.2502)]"
"Helpful, I got the online counseling from this app. Very recomended to solve your problem during this pandemic period, especially for you who live alone","helpful, i got the online counseling from this application. very recomended to solve your problem during this pandemic period, especially for you who live alone",en,0.0422,0.154,0.687,0.159,1,"[('got online counseling', 0.6295), ('pandemic period especially', 0.4232), ('recomended', 0.1382), ('especially live', 0.1225), ('solve problem', 0.0288)]"
Dokternya straight to the point,dokternya straight to the point,en,0.2263,0.0,0.678,0.322,1,"[('dokternya straight', 0.8683), ('dokternya straight point', 0.8665), ('dokternya', 0.8627), ('straight point', 0.3754), ('point', 0.2652)]"
"Very useful platform, easy to use.. thanks","very useful platform, easy to use.. thanks",en,0.8503,0.0,0.302,0.698,2,"[('useful platform', 0.8154), ('easy use thanks', 0.6205), ('useful', 0.4598), ('easy', 0.2), ('thanks', 0.1811)]"
Good n complete advice,good n complete advice,en,0.4404,0.0,0.508,0.492,1,"[('good complete advice', 0.8816), ('advice', 0.6206), ('good complete', 0.4832), ('complete', 0.3295), ('good', 0.2513)]"
"Very helpfull, nice doctor","very helpfull, nice doctor",en,0.4728,0.0,0.494,0.506,2,"[('helpfull nice doctor', 0.875), ('nice doctor', 0.7075), ('helpfull', 0.5073), ('doctor', 0.4597), ('nice', 0.2059)]"
The best on line medical system,the best on line medical system,en,0.6369,0.0,0.543,0.457,1,"[('best line medical', 0.7205), ('medical', 0.516), ('line', 0.2361), ('best line', 0.2186), ('best', 0.2034)]"
Fast and useful,fast and useful,en,0.4404,0.0,0.408,0.592,2,"[('fast useful', 0.9438), ('useful', 0.6907), ('fast', 0.609)]"
Really help to get at least initial opinion from a medical doctor. Quite easy to use and intuitive,really help to get at least initial opinion from a medical doctor. quite easy to use and intuitive,en,0.734,0.0,0.721,0.279,1,"[('initial opinion medical', 0.5601), ('easy use intuitive', 0.4905), ('doctor quite easy', 0.4471), ('really help', 0.1822), ('quite', 0.1187)]"
Very convenient to have! Just one click away,very convenient to have! just one click away,en,0.0,0.0,1.0,0.0,0,"[('convenient just click', 0.7702), ('just click away', 0.5723), ('click', 0.4843), ('just', 0.2606), ('away', 0.2031)]"
"Good, and easy","good, and easy",en,0.7003,0.0,0.147,0.853,2,"[('good easy', 0.7574), ('easy', 0.6512), ('good', 0.5877)]"
Doctors very helpful,doctors very helpful,en,0.4754,0.0,0.393,0.607,2,"[('doctors helpful', 0.9192), ('doctors', 0.6175), ('helpful', 0.5435)]"
"Very helpful and useful app, especially during this pandemic times","very helpful and useful application, especially during this pandemic times",en,0.7397,0.0,0.561,0.439,1,"[('application especially pandemic', 0.7887), ('helpful useful application', 0.6159), ('helpful', 0.3311), ('times', 0.1288), ('especially', 0.066)]"
Good app and good services,good application and good services,en,0.7003,0.0,0.341,0.659,2,"[('application good services', 0.872), ('good services', 0.8009), ('good application good', 0.787), ('application', 0.5195), ('good', 0.2135)]"
Responsive and friendly doctors,responsive and friendly doctors,en,0.6908,0.0,0.26,0.74,2,"[('responsive friendly doctors', 0.9783), ('friendly doctors', 0.7506), ('doctors', 0.6305), ('responsive', 0.434), ('friendly', 0.2376)]"
"Very usefull, fast response n helpfull","very usefull, fast response n helpfull",en,0.0,0.0,1.0,0.0,0,"[('fast response helpfull', 0.7861), ('usefull', 0.6741), ('helpfull', 0.6141), ('response', 0.359), ('fast', 0.3215)]"
"The apps is very helpful especially in this pandemic condition, it can help the gojek driver to","the application is very helpful especially in this pandemic condition, it can help the gojek driver to",en,0.6997,0.0,0.721,0.279,1,"[('help gojek driver', 0.6697), ('especially pandemic condition', 0.4175), ('application', 0.3614), ('helpful', 0.2138), ('especially', 0.0789)]"
Very helpful and doctor good,very helpful and doctor good,en,0.7178,0.0,0.334,0.666,2,"[('helpful doctor good', 0.833), ('doctor good', 0.5996), ('helpful', 0.5502), ('doctor', 0.4506), ('good', 0.2768)]"
Good and really helpful,good and really helpful,en,0.7178,0.0,0.25,0.75,2,"[('good really helpful', 0.8324), ('helpful', 0.745), ('good really', 0.4348), ('good', 0.3754), ('really', 0.2598)]"
Good apps and excellent service!,good application and excellent service!,en,0.784,0.0,0.303,0.697,2,"[('application excellent service', 0.8245), ('good application excellent', 0.8117), ('excellent service', 0.7209), ('service', 0.4359), ('good', 0.2353)]"
This app is very good and very helpful.,this application is very good and very helpful.,en,0.742,0.0,0.488,0.512,2,"[('application good helpful', 0.7022), ('application good', 0.5729), ('application', 0.5404), ('good helpful', 0.3878), ('good', 0.0954)]"
Average app for healthcare,average application for healthcare,en,0.0,0.0,1.0,0.0,0,"[('average application healthcare', 0.9829), ('average application', 0.7093), ('healthcare', 0.4642), ('average', 0.41), ('application', 0.3657)]"
Thank God ada aplikasi Halodoc..worry? Bye!,thank god ada aplikasi halodoc..worry? bye!,en,0.5983,0.0,0.45,0.55,2,"[('aplikasi halodoc worry', 0.7957), ('thank god ada', 0.5137), ('worry', 0.3987), ('bye', 0.3057), ('god', 0.1887)]"
"So helpfull , easy,","so helpfull , easy,",en,0.4877,0.0,0.487,0.513,2,"[('helpfull easy', 0.7953), ('helpfull', 0.6672), ('easy', 0.4855)]"
Very very useful..,very very useful..,en,0.5379,0.0,0.366,0.634,2,"[('useful', 0.7371)]"
Very good service,very good service,en,0.4927,0.0,0.385,0.615,2,"[('good service', 0.8937), ('service', 0.5967), ('good', 0.3583)]"
"Good Apps for Basic Health, You Can Confirm With Your Doctor Before Going to The Hospital","good application for basic health, you can confirm with your doctor before going to the hospital",en,0.4404,0.0,0.838,0.162,1,"[('application basic health', 0.7449), ('good application', 0.4338), ('doctor going', 0.4267), ('confirm', 0.1535), ('good', 0.1279)]"
"Very good before, improved and even better now.","very good before, improved and even better now.",en,0.8576,0.0,0.346,0.654,2,"[('good improved better', 0.7432), ('good improved', 0.7377), ('improved', 0.6306), ('good', 0.3904), ('better', 0.3762)]"
Recommended medical App.. very helpfull,recommended medical application.. very helpfull,en,0.2023,0.0,0.69,0.31,1,"[('recommended medical application', 0.9069), ('medical', 0.4883), ('application', 0.4355), ('recommended', 0.2665), ('helpfull', 0.2426)]"
Fast response. Friendly Doctor. Easy payment method,fast response. friendly doctor. easy payment method,en,0.7269,0.0,0.45,0.55,2,"[('doctor easy payment', 0.7923), ('response friendly doctor', 0.6439), ('payment method', 0.5043), ('friendly', 0.2886), ('response', 0.2196)]"
"thank you. nice app, i love it all fitur and option. and ts recomended app and very userfriendly.","thank you. nice application, i love it all fitur and option. and ts recomended application and very userfriendly.",en,0.8591,0.0,0.612,0.388,1,"[('application love fitur', 0.6069), ('thank nice application', 0.5465), ('option ts recomended', 0.3077), ('thank nice', 0.3029), ('userfriendly', 0.1768)]"
Love the idea of this all halodoc section. Chat with a doc is my fav. Thanks,love the idea of this all halodoc section. chat with a doc is my fav. thanks,en,0.8779,0.0,0.563,0.437,1,"[('halodoc section', 0.6579), ('chat doc fav', 0.4008), ('section chat', 0.2447), ('thanks', 0.2185), ('love idea', 0.147)]"
"I try ask with chat, but until now no body answer my question","i try ask with chat, but until now no body answer my question",en,-0.4215,0.189,0.811,0.0,-1,"[('ask chat', 0.7361), ('chat body', 0.577), ('try ask', 0.4377), ('body answer', 0.3613), ('try', 0.3453)]"
User friendly and make it easy,user friendly and make it easy,en,0.7269,0.0,0.396,0.604,2,"[('user friendly', 0.7543), ('user friendly make', 0.6065), ('make easy', 0.5406), ('friendly', 0.421), ('user', 0.2828)]"
cakep...bisa foto resep.. top,cakep...bisa foto resep.. top,en,0.2023,0.0,0.625,0.375,1,"[('bisa foto resep', 0.8526), ('foto', 0.5941), ('resep', 0.4815), ('bisa', 0.4714), ('cakep', 0.4122)]"
best app for medicine needs,best application for medicine needs,en,0.6369,0.0,0.488,0.512,2,"[('application medicine needs', 0.9003), ('best application', 0.6623), ('medicine', 0.5665), ('needs', 0.2339), ('best', 0.0995)]"
"Easy to use, many specialists available, very helpful doctor.","easy to use, many specialists available, very helpful doctor.",en,0.7178,0.0,0.539,0.461,1,"[('available helpful doctor', 0.7224), ('use specialists', 0.6249), ('easy use', 0.3977), ('helpful', 0.2755), ('available', 0.042)]"
the doctor is fast response to solve my problem.,the doctor is fast response to solve my problem.,en,-0.2263,0.235,0.609,0.157,-1,"[('doctor fast response', 0.7317), ('fast response solve', 0.2829), ('fast', 0.2768), ('response', 0.1905), ('solve', 0.1383)]"
it helps a lot in urgent situation 🤧 thanks,it helps a lot in urgent situation thanks,en,0.743,0.0,0.49,0.51,2,"[('helps lot urgent', 0.8151), ('helps', 0.4169), ('situation', 0.2623), ('thanks', 0.1516), ('lot', 0.1475)]"
This app really help in this situation. Affordable and user friendly.,this application really help in this situation. affordable and user friendly.,en,0.7346,0.0,0.592,0.408,1,"[('application really help', 0.6082), ('user friendly', 0.278), ('affordable', 0.2311), ('really', 0.0349), ('situation', 0.0343)]"
Very helpfull. Great!,very helpfull. great!,en,0.6879,0.0,0.3,0.7,2,"[('helpfull great', 0.7674), ('helpfull', 0.6187), ('great', 0.3094)]"
Its good in this time,its good in this time,en,0.4404,0.0,0.58,0.42,1,"[('good time', 0.4852), ('time', 0.38), ('good', 0.3654)]"
Good doctors are always ready to answer the question and problem.,good doctors are always ready to answer the question and problem.,en,0.4019,0.168,0.497,0.335,1,"[('doctors ready answer', 0.7161), ('good doctors', 0.6346), ('answer question problem', 0.3174), ('good', 0.2104), ('ready', 0.0701)]"
Very helpful in difficult times like psbb these days. And the orders arrive quite fast.,very helpful in difficult times like psbb these days. and the orders arrive quite fast.,en,0.4271,0.136,0.589,0.275,1,"[('psbb days orders', 0.6361), ('arrive quite fast', 0.5007), ('helpful difficult', 0.4423), ('quite', 0.2102), ('times like', 0.2078)]"
Worth to pay lah.. coba aja,worth to pay lah.. coba aja,en,0.128,0.192,0.548,0.26,1,"[('pay lah coba', 0.7315), ('worth pay lah', 0.6653), ('aja', 0.4713), ('worth', 0.4374), ('pay', 0.3813)]"
"Actually had a solid experience using this, only slightly annoyed that they constantly search new/nearby apothecaries whenever users renew their location","actually had a solid experience using this, only slightly annoyed that they constantly search new/nearby apothecaries whenever users renew their location",en,-0.1796,0.101,0.829,0.07,-1,"[('users renew location', 0.6488), ('annoyed constantly search', 0.4548), ('apothecaries', 0.3304), ('nearby', 0.245), ('experience using', 0.2107)]"
Very good application,very good application,en,0.4927,0.0,0.385,0.615,2,"[('good application', 0.9049), ('application', 0.6912), ('good', 0.3263)]"
Useful apps for health consultation without going out,useful application for health consultation without going out,en,0.4404,0.0,0.707,0.293,1,"[('application health consultation', 0.7885), ('health', 0.4295), ('application', 0.3734), ('useful', 0.2845), ('going', 0.0828)]"
Very helpful. Recommended aplikasi doctors 👌,very helpful. recommended aplikasi doctors,en,0.8835,0.0,0.21,0.79,2,"[('recommended aplikasi doctors', 0.878), ('aplikasi', 0.586), ('doctors', 0.3958), ('helpful', 0.3158), ('recommended', 0.2387)]"
"Used this app since part of gojek, gettinng better with the independent app. Easy way in getting meds quickly. Just tried the doctor consultation and it works great also.","used this application since part of gojek, gettinng better with the independent application. easy way in getting meds quickly. just tried the doctor consultation and it works great also.",en,0.872,0.0,0.724,0.276,1,"[('getting meds quickly', 0.5584), ('used application gojek', 0.5348), ('consultation works great', 0.3277), ('just tried', 0.1195), ('better independent', 0.058)]"
The Best app,the best application,en,0.6369,0.0,0.323,0.677,2,"[('best application', 0.9659), ('application', 0.7232), ('best', 0.3464)]"
Great apps! It help me in order to avoid covid 19 at this time. Stay at home and just click the medicine we need. then voilaaa it come with good pacakaging. Thanks.,great application! it help me in order to avoid covid 19 at this time. stay at home and just click the medicine we need. then voilaaa it come with good pacakaging. thanks.,en,0.8932,0.052,0.641,0.306,1,"[('avoid covid 19', 0.5257), ('just click medicine', 0.4712), ('pacakaging thanks', 0.3652), ('application help order', 0.2471), ('time stay home', 0.0549)]"
"I have use this apps 2 times. The first one the doctor hanging me in the chat when the session had just running for 5 minutes n not going back till the session is over. I could see the last seen on the top of the chat but at the end of the session the doctor give note that the chat isn't coming. i thought, what's the problem here, so i sent an e mail to the CS about the issue n then they reply to sent ss of the chat but after 3 days i dont get any update yet n my money doesn't come back either.","i have use this application 2 times. the first one the doctor hanging me in the chat when the session had just running for 5 minutes n not going back till the session is over. i could see the last seen on the top of the chat but at the end of the session the doctor give note that the chat is not coming. i thought, what is the problem here, so i sent an e mail to the cs about the issue n then they reply to sent ss of the chat but after 3 days i do not get any update yet n my money does not come back either.",en,-0.4854,0.032,0.955,0.013,-1,"[('doctor hanging chat', 0.5942), ('update money', 0.3461), ('use application times', 0.3016), ('sent ss', 0.1991), ('cs issue', 0.1812)]"
"It is very useful application. I have been going around Jakarta trying to find a medicine which always unavailable in many pharmacies. Finally, I gave up and I try to order in Halodoc and I got it! No hassle at all.. Delivery is also quick, nice packaging!","it is very useful application. i have been going around jakarta trying to find a medicine which always unavailable in many pharmacies. finally, i gave up and i try to order in halodoc and i got it! no hassle at all.. delivery is also quick, nice packaging!",en,0.6572,0.042,0.834,0.125,1,"[('try order halodoc', 0.507), ('useful application', 0.4309), ('application going jakarta', 0.4034), ('medicine', 0.3624), ('nice packaging', 0.2344)]"
"helpfull, especially during this pandemic session. hopefully this session will be ended soon","helpfull, especially during this pandemic session. hopefully this session will be ended soon",en,0.4019,0.0,0.816,0.184,1,"[('pandemic session hopefully', 0.745), ('helpfull especially pandemic', 0.681), ('helpfull especially', 0.4526), ('ended', 0.2705), ('soon', 0.1956)]"
Really helpful. Thank you very much.,really helpful. thank you very much.,en,0.707,0.0,0.405,0.595,2,"[('really helpful thank', 0.8043), ('really helpful', 0.6302), ('helpful', 0.4712), ('thank', 0.2496), ('really', 0.0558)]"
"This app is great and helpful, especially in a pandemic situation like today. For the next update, would you please give additional feature such as 'add chat time' button inside the chat room (with an option of another 15 or 30 minutes)? So we don't have to wait until the chat ends automatically and rechat. In a certain situation, we need more than 30 minutes to communicate thoroughly with the doctors.","this application is great and helpful, especially in a pandemic situation like today. for the next update, would you please give additional feature such as 'add chat time' button inside the chat room (with an option of another 15 or 30 minutes)? so we do not have to wait until the chat ends automatically and rechat. in a certain situation, we need more than 30 minutes to communicate thoroughly with the doctors.",en,0.9153,0.0,0.827,0.173,1,"[('add chat time', 0.6976), ('communicate thoroughly doctors', 0.4439), ('application great helpful', 0.2941), ('pandemic situation', 0.2176), ('ends automatically rechat', 0.1412)]"
"Very useful app, easy to use.","very useful application, easy to use.",en,0.7474,0.0,0.386,0.614,2,"[('useful application', 0.8221), ('useful', 0.5907), ('application easy', 0.5454), ('use', 0.4015), ('easy', 0.2103)]"
awesome.. complete services and fast response,awesome.. complete services and fast response,en,0.6249,0.0,0.549,0.451,1,"[('awesome complete services', 0.7707), ('services fast response', 0.7443), ('awesome', 0.456), ('response', 0.3659), ('fast', 0.3473)]"
"Very useful app, friendly user interface. I love this App.. on this pandemic situation I believe this App will be a next Unicorn start up with so many benefits to all Indonesia citizens layer..","very useful application, friendly user interface. i love this application.. on this pandemic situation i believe this application will be a next unicorn start up with so many benefits to all indonesia citizens layer..",en,0.9292,0.0,0.686,0.314,1,"[('indonesia citizens layer', 0.6439), ('application pandemic', 0.5287), ('useful', 0.3602), ('application unicorn start', 0.3161), ('situation believe', 0.0887)]"
Very helpful thank you,very helpful thank you,en,0.707,0.0,0.254,0.746,2,"[('helpful thank', 0.8147), ('helpful', 0.607), ('thank', 0.3391)]"
First time using the app. Really satisfied!!,first time using the application. really satisfied!!,en,0.5686,0.0,0.62,0.38,1,"[('application really satisfied', 0.6355), ('using', 0.351), ('time using application', 0.3375), ('time', 0.0519), ('really', 0.023)]"
"Fast , good communication by doctors","fast , good communication by doctors",en,0.4404,0.0,0.633,0.367,1,"[('good communication doctors', 0.8009), ('fast good communication', 0.7163), ('doctors', 0.5869), ('fast', 0.3478), ('good', 0.2444)]"
Thx alot. The apl help me so much,thanks alot. the apl help me so much,en,0.6369,0.0,0.536,0.464,1,"[('alot apl help', 0.8568), ('thanks alot', 0.4971), ('alot', 0.2775), ('thanks', 0.2517), ('help', 0.2167)]"
"First time using this app, I needed to go to doctor but the circumstances doesn't allow it so I tried this app, chat with a doctor for Rp 25.000 for 30 minutes. Got a prescription, and gojek delivered it within 15 minutes. I am thoroughly impressed!","first time using this application, i needed to go to doctor but the circumstances does not allow it so i tried this application, chat with a doctor for rp 25.000 for 30 minutes. got a prescription, and gojek delivered it within 15 minutes. i am thoroughly impressed!",en,0.597,0.039,0.865,0.096,1,"[('prescription gojek delivered', 0.6249), ('chat doctor rp', 0.4013), ('time using application', 0.2201), ('thoroughly impressed', 0.1161), ('does allow tried', 0.0763)]"
Its easy to use,its easy to use,en,0.4404,0.0,0.508,0.492,1,"[('easy use', 0.8842), ('use', 0.6269), ('easy', 0.4666)]"
I got what I looked for. But I'll give 5 stars if it's added payment method option.,i got what i looked for. but i will give 5 stars if it is added payment method option.,en,0.0,0.0,1.0,0.0,0,"[('payment method option', 0.7266), ('stars added payment', 0.4897), ('got', 0.1885), ('added', 0.1584), ('looked stars', 0.0374)]"
Ux very easy,ux very easy,en,0.4927,0.0,0.385,0.615,2,"[('ux easy', 0.9224), ('ux', 0.6586), ('easy', 0.58)]"
"Helpfull, even in the middle of the night services still go on, synergic with gojek kind drivers., Tq.so much.....","helpfull, even in the middle of the night services still go on, synergic with gojek kind drivers., tq.so much.....",en,0.5267,0.0,0.841,0.159,1,"[('night services synergic', 0.6196), ('gojek kind drivers', 0.5364), ('helpfull', 0.2736), ('tq', 0.2456), ('middle', 0.0366)]"
Very helpful and simple way to buy medicine. No need to go out. I satisfied to use this application. Thank you,very helpful and simple way to buy medicine. no need to go out. i satisfied to use this application. thank you,en,0.7346,0.08,0.616,0.304,1,"[('way buy medicine', 0.633), ('helpful simple way', 0.3308), ('application thank', 0.3192), ('need', 0.1091), ('way', 0.0741)]"
Good app but need to be improved in terms of selecting products. Not quite user friendly as the store keeps changing everytime I pick products that are not available.,good application but need to be improved in terms of selecting products. not quite user friendly as the store keeps changing everytime i pick products that are not available.,en,0.3289,0.105,0.725,0.17,1,"[('selecting products quite', 0.6305), ('user friendly store', 0.5529), ('application need', 0.4065), ('improved', 0.266), ('keeps changing everytime', 0.1106)]"
Very usefull dan helped me so much.. Thankyouuu👍👍,very usefull dan helped me so much.. thankyouuu,en,0.0,0.0,1.0,0.0,0,"[('usefull dan helped', 0.6475), ('helped thankyouuu', 0.6124), ('helped', 0.3786), ('dan', 0.3271), ('thankyouuu', 0.3176)]"
