content,clean_emoji,language,compound,neg,neu,pos,vader_rating
The Best be the Best,the best be the best,en,0.8555,0.0,0.263,0.737,2
"Fast response, very helpful","fast response, very helpful",en,0.4754,0.0,0.492,0.508,2
Very Usefull Apps to use,very usefull application to use,en,0.0,0.0,1.0,0.0,0
This app very nice,this application very nice,en,0.4754,0.0,0.492,0.508,2
Cooll ..thx alodokter,cooll ..thanks alodokter,en,0.3612,0.0,0.444,0.556,2
Love it.. The app helps me much to get many information about my health.,love it.. the application helps me much to get many information about my health.,en,0.7783,0.0,0.638,0.362,1
Fast respons for the doctors,fast respons for the doctors,en,0.0,0.0,1.0,0.0,0
I got more knowledge,i got more knowledge,en,0.0,0.0,1.0,0.0,0
"Helpful, thank you","helpful, thank you",en,0.6486,0.0,0.159,0.841,2
It's very impressive apps,it is very impressive application,en,0.5563,0.0,0.455,0.545,2
New user....more understanding the apps,new user....more understanding the application,en,0.0,0.0,1.0,0.0,0
Guys this app so helpful to know detail information about any ills! even the doctors will answers quickly!,guys this application so helpful to know detail information about any ills! even the doctors will answers quickly!,en,0.637,0.0,0.802,0.198,1
How to stop proteksi alodokter customer ?,how to stop proteksi alodokter customer ?,en,-0.296,0.268,0.732,0.0,-1
Very good application. Can interact with doctors directly and quickly,very good application. can interact with doctors directly and quickly,en,0.4927,0.0,0.738,0.262,1
This aplication so help me,this aplication so help me,en,0.541,0.0,0.534,0.466,1
This apps is very helping. Thank you,this application is very helping. thank you,en,0.6453,0.0,0.487,0.513,2
I am thinking it's not real helpfull..,i am thinking it is not real helpfull..,en,0.0,0.0,1.0,0.0,0
I sign for Alodokter Protection but its almost 2 Weeks and still no confirmation from Alodokter,i sign for alodokter protection but its almost 2 weeks and still no confirmation from alodokter,en,-0.4215,0.157,0.843,0.0,-1
Very helful thanks,very helful thanks,en,0.4902,0.0,0.386,0.614,2
Good app 👍👍,good application,en,0.4404,0.0,0.633,0.367,1
Helpful. Thank u,helpful. thank you,en,0.6486,0.0,0.159,0.841,2
very helpful and explanation. according to my expectations,very helpful and explanation. according to my expectations,en,0.4754,0.0,0.694,0.306,1
"Useful app, now it's easy to have an appointment with my doctor.","useful application, now it is easy to have an appointment with my doctor.",en,0.7003,0.0,0.633,0.367,1
Its cant help me anything im tired to log in but cant ..,its cannot help me anything i am tired to log in but cannot ..,en,-0.3775,0.245,0.755,0.0,-1
Useful app & faster response,useful application & faster response,en,0.4404,0.0,0.58,0.42,1
This is very useful,this is very useful,en,0.4927,0.0,0.484,0.516,2
I can't put my phone number.. Why?,i cannot put my phone number.. why?,en,0.0772,0.0,0.822,0.178,1
Very good app,very good application,en,0.4927,0.0,0.385,0.615,2
Very helping ! Nice app 👏 thankyou,very helping ! nice application thankyou,en,0.7049,0.0,0.506,0.494,1
Simple and help me out,simple and help me out,en,0.4019,0.0,0.597,0.403,1
Great!! Thank you,great!! thank you,en,0.8011,0.0,0.122,0.878,2
This so wonderfull aplication,this so wonderfull aplication,en,0.0,0.0,1.0,0.0,0
"Very good advice for my case, hypertension","very good advice for my case, hypertension",en,0.4927,0.0,0.653,0.347,1
This apps is very helpful,this application is very helpful,en,0.4754,0.0,0.564,0.436,1
"got nothing to say,just good af","got nothing to say,just good af",en,-0.3412,0.325,0.675,0.0,-1
Fast respon & helpfull..,fast respon & helpfull..,en,0.0,0.0,1.0,0.0,0
"In the middle of the night, i'm dying with no one to help, no transportation to go, then I find this app with hope to get medical attention from some expert. But what? Nobody's online. If this app only help on operational hour, i could just go to nearest hospital. It is a disappointment. I hope I can live past tommorow.","in the middle of the night, i am dying with no one to help, no transportation to go, then i find this application with hope to get medical attention from some expert. but what? nobody's online. if this application only help on operational hour, i could just go to nearest hospital. it is a disappointment. i hope i can live past tommorow.",en,0.5499,0.105,0.741,0.154,1
Marvelous application. Really help. Thank you,marvelous application. really help. thank you,en,0.8648,0.0,0.237,0.763,2
Great apps! It really helps giving me 2nd opinion after my first session with my obgyn. Thanks,great application! it really helps giving me 2nd opinion after my first session with my obgyn. thanks,en,0.9163,0.0,0.503,0.497,1
Nice and helpful,nice and helpful,en,0.6808,0.0,0.152,0.848,2
Good nice app thanks,good nice application thanks,en,0.8225,0.0,0.104,0.896,2
Fast respond and very helpfull,fast respond and very helpfull,en,0.0,0.0,1.0,0.0,0
"They didn't reply my paid chat session with the doctor for about 2 hour, and suddenly send me a notification telling me that my session is over.","they did not reply my paid chat session with the doctor for about 2 hour, and suddenly send me a notification telling me that my session is over.",en,0.0,0.0,1.0,0.0,0
"Great app. Except I couldn't access the lowest part of the screen where there are icons to switch between tabs because my navigation buttons covered them. So every time I tried to switch to another tabs, my finger's tapping the navigation button instead. It's frustrating. Please fix this. I'm on Google Pixel 2 XL.","great application. except i could not access the lowest part of the screen where there are icons to switch between tabs because my navigation buttons covered them. so every time i tried to switch to another tabs, my finger's tapping the navigation button instead. it is frustrating. please fix this. i am on google pixel 2 xl.",en,0.6892,0.047,0.813,0.14,1
the doctor is helpful and friendly,the doctor is helpful and friendly,en,0.7184,0.0,0.4,0.6,2
"Fast response. Sometimes not directly answer to the question, but eventually will answer it. We can communicate with the doctor right away after the chat box come up","fast response. sometimes not directly answer to the question, but eventually will answer it. we can communicate with the doctor right away after the chat box come up",en,0.0,0.0,1.0,0.0,0
"Thank you, it helps","thank you, it helps",en,0.6249,0.0,0.282,0.718,2
My data got stolen by a person who claimed as alodokter. How come our data got leaked? Lol,my data got stolen by a person who claimed as alodokter. how come our data got leaked? lol,en,-0.4019,0.236,0.644,0.12,-1
"Very helpful ,","very helpful ,",en,0.4754,0.0,0.393,0.607,2
It is a good app👍👍👍,it is a good application,en,0.4404,0.0,0.775,0.225,1
this application is very useful,this application is very useful,en,0.4927,0.0,0.556,0.444,1
Ask a doctor never been this easy,ask a doctor never been this easy,en,0.5228,0.0,0.64,0.36,1
It helps a lot masyaa Allah. Thanks for creating such an app 👍👍👍,it helps a lot masyaa allah. thanks for creating such an application,en,0.7717,0.0,0.661,0.339,1
"it keep saying "" put your nomor ponsel "" and idk what to do :(","it keep saying "" put your nomor ponsel "" and i do not know what to do :(",en,-0.5106,0.249,0.751,0.0,-1
Its really helpful,its really helpful,en,0.4754,0.0,0.393,0.607,2
I hope i could get information for my kid. But they just asked me to go to emergency room. Without any explanation.,i hope i could get information for my kid. but they just asked me to go to emergency room. without any explanation.,en,-0.3506,0.134,0.789,0.077,-1
"Helfull, good response","helfull, good response",en,0.4404,0.0,0.408,0.592,2
"I can't login in even though I put my mobile number many times 🤨 and it said minimum 10 digits or more, However In my country only have 9 digits included country code","i cannot login in even though i put my mobile number many times and it said minimum 10 digits or more, however in my country only have 9 digits included country code",en,0.0772,0.0,0.964,0.036,1
"Very bad... Only for chat with docter you have to pay IDR 15.000....they create this app only for busniss not for helping people...,I fell bad for docter right now","very bad... only for chat with docter you have to pay idr 15.000....they create this application only for busniss not for helping people...,i fell bad for docter right now",en,-0.8167,0.288,0.654,0.057,-1
"i don't use this useless app anymore, but the their telemarketers annoyingly called me to offer their products, and rudely hung up my phone, before i had a chance to ask","i do not use this useless application anymore, but the their telemarketers annoyingly called me to offer their products, and rudely hung up my phone, before i had a chance to ask",en,-0.6027,0.174,0.758,0.068,-1
"Good application, really helpful..fast response and give us depth understanding on my desease and also solution...thank you very much","good application, really helpful..fast response and give us depth understanding on my desease and also solution...thank you very much",en,0.4404,0.0,0.861,0.139,1
Very helpful application,very helpful application,en,0.4754,0.0,0.393,0.607,2
Better if this application follow the WA in case of texting arrangement,better if this application follow the wa in case of texting arrangement,en,0.4404,0.0,0.791,0.209,1
"SUPPORT YOUR HEALTH, THANK YOU.","support your health, thank you.",en,0.6369,0.0,0.366,0.634,2
Very helpfull for everyone.....,very helpfull for everyone.....,en,0.0,0.0,1.0,0.0,0
Great application... Very useful...,great application... very useful...,en,0.807,0.0,0.215,0.785,2
So helpful. Thanks,so helpful. thanks,en,0.7408,0.0,0.138,0.862,2
"Good ,very helpul","good ,very helpul",en,0.4404,0.0,0.408,0.592,2
This app very helpful,this application very helpful,en,0.4754,0.0,0.492,0.508,2
This is a very great apps💛,this is a very great application,en,0.8622,0.0,0.411,0.589,2
"The app sometimes bugged when i had to pick option from a question. It recognized as i didnt choose any answers. And pls add ""other option"" because sometimes i couldnt find any option suitable. Good app n nice doctors overall","the application sometimes bugged when i had to pick option from a question. it recognized as i did not choose any answers. and pls add ""other option"" because sometimes i could not find any option suitable. good application n nice doctors overall",en,0.7184,0.0,0.841,0.159,1
Why i didnt even get to log in eventhough i put my number many times and it said tht my number is not valid?? It said that i should insert phone number that is valid and i just have one phone number that i use for 8 years,why i did not even get to log in eventhough i put my number many times and it said tht my number is not valid?? it said that i should insert phone number that is valid and i just have one phone number that i use for 8 years,en,0.3736,0.0,0.888,0.112,1
Very helpful.. nice and polite also really clear explanation also together with the suggestion...,very helpful.. nice and polite also really clear explanation also together with the suggestion...,en,0.8428,0.0,0.548,0.452,1
Really help! Thank you alodokter,really help! thank you alodokter,en,0.7239,0.0,0.331,0.669,2
"If I could give zero star, I would. I used the premium chat feature the first time, hoping that it would help. Nope, the doctor was super minimum in giving information, not at all communicative, and simply give what Google can provide. The app itself isn't really good, no feature to delete account permanently, always re-direct me to my location setting even when I choose ""No, thanks"".","if i could give zero star, i would. i used the premium chat feature the first time, hoping that it would help. nope, the doctor was super minimum in giving information, not at all communicative, and simply give what google can provide. the application itself is not really good, no feature to delete account permanently, always re-direct me to my location setting even when i choose ""no, thanks"".",en,0.9212,0.033,0.756,0.211,1
Truly helpful. Thank you alodokter!,truly helpful. thank you alodokter!,en,0.8172,0.0,0.191,0.809,2
Useful app go ahead,useful application go ahead,en,0.4404,0.0,0.508,0.492,1
"Cool, best application, doctor fast respond, thankyou 🙏👍👍","cool, best application, doctor fast respond, thankyou",en,0.7579,0.0,0.629,0.371,1
help a lot!,help a lot!,en,0.4574,0.0,0.401,0.599,2
Recommended when you need a doctor urgently but you could not come to the hospital at the moment.,recommended when you need a doctor urgently but you could not come to the hospital at the moment.,en,0.1027,0.0,0.924,0.076,1
I'm cryin for this app,i am cryin for this application,en,0.0,0.0,1.0,0.0,0
The registration require a phone number but when I insert my number (malaysian) it said that i have to use valid number.,the registration require a phone number but when i insert my number (malaysian) it said that i have to use valid number.,en,0.2617,0.0,0.824,0.176,1
"This application is very helpful especially for those who are lazy to go to the doctor, hopefully this application can be even better","this application is very helpful especially for those who are lazy to go to the doctor, hopefully this application can be even better",en,0.7346,0.083,0.629,0.288,1
It was helpful app ever!!! Thanksss,it was helpful application ever!!! thanksss,en,0.5684,0.0,0.576,0.424,1
"Such a very helpful app! Seamless user experience, especially the search button algorithm, it's like using ""Google for Health"". Thank you very much and keep innovating!","such a very helpful application! seamless user experience, especially the search button algorithm, it is like using ""google for health"". thank you very much and keep innovating!",en,0.8261,0.0,0.726,0.274,1
The application helpful and quick respon.,the application helpful and quick respon.,en,0.4215,0.0,0.641,0.359,1
Thanks for everything. It is good apk ❤❤❤,thanks for everything. it is good apk,en,0.9607,0.0,0.303,0.697,2
very helpfull for everyone,very helpfull for everyone,en,0.0,0.0,1.0,0.0,0
"Looks good and user friendly. But my bottom menu for protection, feeds, etc is overlapping with my android's back n home button at the bottom","looks good and user friendly. but my bottom menu for protection, feeds, etc is overlapping with my android's back n home button at the bottom",en,0.4678,0.0,0.85,0.15,1
Why malaysia can't use this apps?,why malaysia cannot use this application?,en,0.0,0.0,1.0,0.0,0
This app so helpful. I had an answer quickly.,this application so helpful. i had an answer quickly.,en,0.5598,0.0,0.689,0.311,1
"Not that helpful... Better meet the doctor directly, so he can check you up and determine your sickness.","not that helpful... better meet the doctor directly, so he can check you up and determine your sickness.",en,-0.5773,0.228,0.772,0.0,-1
Good application for healthy care,good application for healthy care,en,0.8316,0.0,0.185,0.815,2
Very important and useful application cause health is number 1,very important and useful application because health is number 1,en,0.6764,0.0,0.516,0.484,1
"Amazing! Worth the money especially buat yg gk bisa sering2 berobat karena kerjaan, infony sgt membantu!","amazing! worth the money especially buat yg gk bisa sering2 berobat karena kerjaan, infony sgt membantu!",en,0.7418,0.0,0.69,0.31,1
"Helpful!!!! To whoever found this app, I m very thankful 🙏 Response in seconds with friendly doctors ❤","helpful!!!! to whoever found this application, i m very thankful response in seconds with friendly doctors",en,0.9465,0.0,0.51,0.49,1
"This app is excellent to whom are looking for medical knowledge about themselves, and looking for the answer of health problems","this application is excellent to whom are looking for medical knowledge about themselves, and looking for the answer of health problems",en,0.25,0.106,0.748,0.146,1
Thks for info,thks for info,en,0.34,0.0,0.455,0.545,2
It's useful & fast for me.,it is useful & fast for me.,en,0.4404,0.0,0.633,0.367,1
So far 4 stars. It did helped me a little bit.,so far 4 stars. it did helped me a little bit.,en,0.0,0.0,1.0,0.0,0
Good doctor and app thank you,good doctor and application thank you,en,0.6597,0.0,0.426,0.574,2
"It is quite uselfull. Howewer, the number of doctors who online is smaller than the offline.","it is quite uselfull. howewer, the number of doctors who online is smaller than the offline.",en,-0.0516,0.089,0.833,0.077,-1
Thanks for sharing dr,thanks for sharing dr,en,0.6908,0.0,0.26,0.74,2
Satisfied with the service,satisfied with the service,en,0.4215,0.0,0.517,0.483,1
Fast respond and very helpfull,fast respond and very helpfull,en,0.0,0.0,1.0,0.0,0
"Good app, very helpful 😊","good application, very helpful",en,0.9056,0.0,0.289,0.711,2
"Using Android 10, with 2-gesture, it's impossible to choose menu. Try it then u'll understand","using android 10, with 2-gesture, it is impossible to choose menu. try it then you'll understand",en,0.0,0.0,1.0,0.0,0
The best apps in the world 🎊❤,the best application in the world,en,0.8555,0.0,0.488,0.512,2
"As someone who have many accute disease, this app is really helpful and worth to download. The doctors r so humble and kind, they answer our question nicely","as someone who have many accute disease, this application is really helpful and worth to download. the doctors r so humble and kind, they answer our question nicely",en,0.8961,0.0,0.67,0.33,1
You cant get right answer for your problem,you cannot get right answer for your problem,en,-0.4019,0.278,0.722,0.0,-1
Very easy to use and helpful. Easiest way to consult about anything to doctors wherever u are,very easy to use and helpful. easiest way to consult about anything to doctors wherever you are,en,0.8313,0.0,0.614,0.386,1
it helps me a looootttt,it helps me a looootttt,en,0.3818,0.0,0.606,0.394,1
good app tapi kl bisa free u/ konsul dokternya,good application tapi kl bisa free you/ konsul dokternya,en,0.7351,0.0,0.53,0.47,1
"Don't use their service, they sell your data (phone number) for telemarketing without your consent. And NO, I'm not interested in the insurance. You also don't know if they sell/use your medical records for a different purpose without your permission. Don't give an info about your medical records to this start up (moreover via phone, really?). Just contact your hospital/medical center's website, they're more secure and reliable, they let the questioning only between you and your trusted doctor.","do not use their service, they sell your data (phone number) for telemarketing without your consent. and no, i am not interested in the insurance. you also do not know if they sell/use your medical records for a different purpose without your permission. do not give an info about your medical records to this start up (moreover via phone, really?). just contact your hospital/medical center's website, they are more secure and reliable, they let the questioning only between you and your trusted doctor.",en,0.4155,0.063,0.853,0.084,1
The respond is good enough and explain the sickness clearly,the respond is good enough and explain the sickness clearly,en,0.6808,0.0,0.588,0.412,1
Fast and good response from the doctor 👍🏻,fast and good response from the doctor,en,0.4404,0.0,0.791,0.209,1
Cannot log in... I'd tried so many time but it just wasted my time...! Already sign in with my registered account but doesn't working... Bye,cannot log in... i would tried so many time but it just wasted my time...! already sign in with my registered account but does not working... bye,en,-0.68,0.161,0.839,0.0,-1
The doctor answer as soon as possible amd it really helpful,the doctor answer as soon as possible amd it really helpful,en,0.4754,0.0,0.764,0.236,1
Works really well,works really well,en,0.3384,0.0,0.455,0.545,2
For second opinion,for second opinion,en,0.0,0.0,1.0,0.0,0
Very usefull.. If I may advise add a veterinarian please,very usefull.. if i may advise add a veterinarian please,en,0.3182,0.0,0.796,0.204,1
Very helpful application!,very helpful application!,en,0.5244,0.0,0.371,0.629,2
"Bad apps, bad service. Just spam","bad application, bad service. just spam",en,-0.8591,0.76,0.24,0.0,-2
Very fast n professional responses,very fast n professional responses,en,0.0,0.0,1.0,0.0,0
Really helpful application,really helpful application,en,0.4754,0.0,0.393,0.607,2
This application is very helpful,this application is very helpful,en,0.4754,0.0,0.564,0.436,1
Tx a lot bermanfaat,tx a lot bermanfaat,en,0.3612,0.0,0.545,0.455,1
Thx a lot,thanks a lot,en,0.3612,0.0,0.444,0.556,2
"After registered my phone number, i got a lot of call from someone who claimed from alodokter. Initially he asked for review about the application but then he offered alodokter's insurance. I searched on google and surprise! Many people complained about same thing . It's kinda creepy. So i uninstall this application.","after registered my phone number, i got a lot of call from someone who claimed from alodokter. initially he asked for review about the application but then he offered alodokter's insurance. i searched on google and surprise! many people complained about same thing . it is kind of creepy. so i uninstall this application.",en,-0.2598,0.063,0.865,0.072,-1
Good app help me asked to specialis dokter,good application help me asked to specialis dokter,en,0.6808,0.0,0.517,0.483,1
make asking questions and worries to the professional easier. and definitely a time efficient. don't need to go the Doctors place. and the most important it's inexpensive. thank you Alodokter,make asking questions and worries to the professional easier. and definitely a time efficient. do not need to go the doctors place. and the most important it is inexpensive. thank you alodokter,en,0.8439,0.071,0.605,0.325,1
Helpful & easy.,helpful & easy.,en,0.6908,0.0,0.149,0.851,2
"respon cepat, user friendly app","respon cepat, user friendly application",en,0.4939,0.0,0.556,0.444,1
This app is fantastic and it helps me a lot. i wish we always keep our health well.,this application is fantastic and it helps me a lot. i wish we always keep our health well.,en,0.875,0.0,0.56,0.44,1
Thank you Dok,thank you dok,en,0.3612,0.0,0.444,0.556,2
Really appreciate to got health information,really appreciate to got health information,en,0.4576,0.0,0.626,0.374,1
can't open the application after installed. it takes a long time to open the application only. You should fix this as soon as possible.,cannot open the application after installed. it takes a long time to open the application only. you should fix this as soon as possible.,en,0.0,0.0,1.0,0.0,0
"Good , but its say you can pay it with ovo but it cant","good , but its say you can pay it with ovo but it cannot",en,0.09,0.103,0.772,0.125,1
Good app... 👍,good application...,en,0.4404,0.0,0.508,0.492,1
Appreciated all the information.,appreciated all the information.,en,0.5106,0.0,0.476,0.524,2
"Really helpful, fast response and friendly reply","really helpful, fast response and friendly reply",en,0.7425,0.0,0.443,0.557,2
Best app ever !!!!,best application ever !!!!,en,0.7482,0.0,0.359,0.641,2
"Why do you guys call me to offer your insurance services ya? For me, it's a spam","why do you guys call me to offer your insurance services ya? for me, it is a spam",en,-0.3612,0.135,0.865,0.0,-1
It really helped me whenever I need to know about my health and condition,it really helped me whenever i need to know about my health and condition,en,0.0,0.0,1.0,0.0,0
very helpful 😍,very helpful,en,0.7485,0.0,0.386,0.614,2
very helpful... i love this app,very helpful... i love this application,en,0.8204,0.0,0.346,0.654,2
"Easy to use, cheap price for unlimited consultation","easy to use, cheap price for unlimited consultation",en,0.4404,0.0,0.707,0.293,1
Awesome apps keep it up,awesome application keep it up,en,0.6249,0.0,0.494,0.506,2
I WANT MY MONEY BACK. I ALREADY SENT AN EMAIL THAT I CAN'T USE THIS APP BUT THIS APP STILL STEALING MY MONEY FROM AUTODEBT FOR FREE CONSUL WITH THE DOCTORS. BUT I ALREADY SAID THAT I CAN'T USE THIS APP BUT THEY'RE STILL STEALING MY MONEY. THIS APP CAN'T OPENED IN MY DEVICE. ALREADY SENT AN EMAIL ABOUT THAT. I WANT MY MONEY BACK!!! YOU DON'T EVEN LET ME STOP THE AUTODEBT. I WANT TO STOP IT AND MY MONEY BACK.,i want my money back. i already sent an email that i cannot use this application but this application still stealing my money from autodebt for free consul with the doctors. but i already said that i cannot use this application but they are still stealing my money. this application cannot opened in my device. already sent an email about that. i want my money back!!! you do not even let me stop the autodebt. i want to stop it and my money back.,en,-0.9017,0.167,0.747,0.086,-1
Love this apps,love this application,en,0.6369,0.0,0.323,0.677,2
"care, your data is stolen, and telemarketing will call you and push you to buy the product","care, your data is stolen, and telemarketing will call you and push you to buy the product",en,0.0,0.15,0.701,0.15,0
"Very bad. After installed cant registered. After got OTP sms and fill name, birth date, address but cant continue.","very bad. after installed cannot registered. after got otp sms and fill name, birth date, address but cannot continue.",en,-0.3392,0.117,0.883,0.0,-1
Thank you team! Free consultation unlimited.,thank you team! free consultation unlimited.,en,0.7263,0.0,0.396,0.604,2
"Amazing, you must to download it","amazing, you must to download it",en,0.5859,0.0,0.568,0.432,1
Very helpful for an early checkup.,very helpful for an early checkup.,en,0.4754,0.0,0.618,0.382,1
i've a friends and family who's care about me,i have a friends and family who is care about me,en,0.743,0.0,0.526,0.474,1
I can't login to the app!!!,i cannot login to the application!!!,en,0.0,0.0,1.0,0.0,0
Can not find my doctor,can not find my doctor,en,0.0,0.0,1.0,0.0,0
I really love it T-T,i really love it t-t,en,0.6697,0.0,0.471,0.529,2
"So sad,why ask to put nomor ponsel but Singapore number cannot","so sad,why ask to put nomor ponsel but singapore number cannot",en,0.1154,0.0,0.873,0.127,1
I like the respon of this apps,i like the respon of this application,en,0.3612,0.0,0.706,0.294,1
This app is very helpfull for people in uptownside,this application is very helpfull for people in uptownside,en,0.0,0.0,1.0,0.0,0
Functional. Very content!,functional. very content!,en,0.0,0.0,1.0,0.0,0
I would give 5 star if they don't call my phone number for promotions.,i would give 5 star if they do not call my phone number for promotions.,en,0.0772,0.0,0.909,0.091,1
"Good application, keep health","good application, keep health",en,0.4404,0.0,0.508,0.492,1
Thx a lot...,thanks a lot...,en,0.3612,0.0,0.444,0.556,2
"Tried to sign up but the verification sms came after a few minutes, the app has closed and my code no longer works. I had to retry signing up, and wait for my code again.. It still hasn't arrived til now. As I couldn't even use the app, I can't give it more than one star.","tried to sign up but the verification sms came after a few minutes, the application has closed and my code no longer works. i had to retry signing up, and wait for my code again.. it still has not arrived til now. as i could not even use the application, i cannot give it more than one star.",en,-0.4215,0.048,0.952,0.0,-1
Worst app livechat just for paid user,worst application livechat just for paid user,en,-0.6249,0.406,0.594,0.0,-1
Thanks it really help me!,thanks it really help me!,en,0.7339,0.0,0.327,0.673,2
"good, it's help us","good, it is help us",en,0.6808,0.0,0.263,0.737,2
Good apl and very help everyone,good apl and very help everyone,en,0.7089,0.0,0.404,0.596,2
Very nice and helpful,very nice and helpful,en,0.7316,0.0,0.245,0.755,2
Free entery. Pliss,free entery. pliss,en,0.5106,0.0,0.377,0.623,2
"Good, fast response","good, fast response",en,0.4404,0.0,0.408,0.592,2
"Very good app, in line with it purpose","very good application, in line with it purpose",en,0.4927,0.0,0.687,0.313,1
Ada fitur chat gratis tiap hari,ada fitur chat gratis tiap hari,en,0.0516,0.0,0.806,0.194,1
Great app! Hope to see a huge improvement of this app in future 😀👍🏻,great application! hope to see a huge improvement of this application in future,en,0.9336,0.0,0.498,0.502,2
"udah transfer gabisa chat, app force close","udah transfer gabisa chat, application force close",en,0.0,0.0,1.0,0.0,0
Helpful. We can consult everywhere and anywhere.,helpful. we can consult everywhere and anywhere.,en,0.4215,0.0,0.682,0.318,1
"BEST APP IF U WANT TO ASK ABOUT A DISEASE , ITS RLY FAST RESPON","best application if you want to ask about a disease , its really fast respon",en,0.7885,0.0,0.651,0.349,1
Customer Service is impolite,customer service is impolite,en,-0.3818,0.464,0.536,0.0,-1
"Good information,good dokter","good information,good dokter",en,0.4404,0.0,0.408,0.592,2
It's help me to solve my problem,it is help me to solve my problem,en,0.2023,0.241,0.357,0.402,1
Every doctor answer your question patiently,every doctor answer your question patiently,en,0.0,0.0,1.0,0.0,0
Easy for consulting,easy for consulting,en,0.4404,0.0,0.408,0.592,2
Fast respond of a doctor,fast respond of a doctor,en,0.0,0.0,1.0,0.0,0
"Fast, good service","fast, good service",en,0.4404,0.0,0.408,0.592,2
It helps for know information of your health,it helps for know information of your health,en,0.3818,0.0,0.729,0.271,1
Thankyou alodokter team,thankyou alodokter team,en,0.0,0.0,1.0,0.0,0
Thanks for the usefull apps. So far helpfull,thanks for the usefull application. so far helpfull,en,0.4404,0.0,0.707,0.293,1
Thank you for this useful app,thank you for this useful application,en,0.7073,0.0,0.405,0.595,2
"Good app, and recom for healty","good application, and recom for healty",en,0.4404,0.0,0.633,0.367,1
"Nice apps, we can chat with a real doctor","nice application, we can chat with a real doctor",en,0.4215,0.0,0.741,0.259,1
It's good to share & consult with great doctors via this app,it is good to share & consult with great doctors via this application,en,0.8481,0.0,0.495,0.505,2
Good apps really helpfull,good application really helpfull,en,0.4404,0.0,0.508,0.492,1
Thank you doctor....,thank you doctor....,en,0.3612,0.0,0.444,0.556,2
It helps thankyou,it helps thankyou,en,0.3818,0.0,0.435,0.565,2
Nice apps. Sangat berguna,nice application. sangat berguna,en,0.4215,0.0,0.517,0.483,1
This application is the best. It can help me for solving myproblem,this application is the best. it can help me for solving myproblem,en,0.8519,0.0,0.492,0.508,2
It's really helpful,it is really helpful,en,0.4754,0.0,0.393,0.607,2
"I am excited to ask anything that link to my physical conditions here, doctors are good and what I like about them is they always give a brief explanations about illness in a very short time","i am excited to ask anything that link to my physical conditions here, doctors are good and what i like about them is they always give a brief explanations about illness in a very short time",en,0.6249,0.064,0.753,0.184,1
very helply xD,very helply xd,en,0.6222,0.0,0.329,0.671,2
Very usefull app,very usefull application,en,0.0,0.0,1.0,0.0,0
Very helpful and very useful,very helpful and very useful,en,0.742,0.0,0.323,0.677,2
Found it helpful,found it helpful,en,0.4215,0.0,0.417,0.583,2
Very helpful ❤,very helpful,en,0.8204,0.0,0.209,0.791,2
"Much more than helpful, thank you","much more than helpful, thank you",en,0.7043,0.0,0.406,0.594,2
"This app is actually very helpful and recommended. The fact that I could easily ask one doctor about my health, and then get the information and suggestion for free is amazing. Thank you so so much! ❣❣","this application is actually very helpful and recommended. the fact that i could easily ask one doctor about my health, and then get the information and suggestion for free is amazing. thank you so so much!",en,0.9779,0.0,0.566,0.434,1
Very good so far,very good so far,en,0.4927,0.0,0.484,0.516,2
Helpful apps ❤❤,helpful application,en,0.9042,0.0,0.211,0.789,2
"Used to be so good, but now... meh.","used to be so good, but now... meh.",en,0.2313,0.148,0.611,0.241,1
so helpful..thank u,so helpful..thank you,en,0.0,0.0,1.0,0.0,0
thanks a lots..,thanks a lots..,en,0.4404,0.0,0.408,0.592,2
Very clear explanation and helpful,very clear explanation and helpful,en,0.6901,0.0,0.345,0.655,2
Quick response and friendly doctor,quick response and friendly doctor,en,0.4939,0.0,0.556,0.444,1
quick response and very help full. recommended and must have,quick response and very help full. recommended and must have,en,0.6195,0.0,0.613,0.387,1
At first i thought this is good apps with a good answear from a good doctor. Until somebody call my number and they know from this app. Almost everyday,at first i thought this is good application with a good answear from a good doctor. until somebody call my number and they know from this application. almost everyday,en,0.8402,0.0,0.714,0.286,1
Fast response. Thank you.,fast response. thank you.,en,0.3612,0.0,0.545,0.455,1
This app is good and very help,this application is good and very help,en,0.7089,0.0,0.459,0.541,2
"They didnt reply my chat session with the doctor for about 2 hrs, and then suddenly they send me a notification telling me that my session is over.","they did not reply my chat session with the doctor for about 2 hrs, and then suddenly they send me a notification telling me that my session is over.",en,0.0,0.0,1.0,0.0,0
This apps sooo useful,this application sooo useful,en,0.4404,0.0,0.508,0.492,1
Very usefull apps,very usefull application,en,0.0,0.0,1.0,0.0,0
Good answer from the doctor,good answer from the doctor,en,0.4404,0.0,0.58,0.42,1
I got the answers asap with the docs. Love it.,i got the answers as soon as possible with the docs. love it.,en,0.6369,0.0,0.682,0.318,1
"Save my life, Thank you Alodokter, real Super app kesehatan","save my life, thank you alodokter, real super application kesehatan",en,0.8625,0.0,0.422,0.578,2
Great app.. thanks,great application.. thanks,en,0.7906,0.0,0.125,0.875,2
"Respon cepat ,thx dokter","respon cepat ,thanks dokter",en,0.3612,0.0,0.545,0.455,1
This is awesome i can talk and ask with doctor no need to visit,this is awesome i can talk and ask with doctor no need to visit,en,0.4404,0.12,0.656,0.224,1
Affordable and accessible. Great.,affordable and accessible. great.,en,0.6249,0.0,0.423,0.577,2
fast respon and good,fast respon and good,en,0.4404,0.0,0.508,0.492,1
